sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position,strategy,family
242,0.09718799480052209,0.09718799480052209,0.02439389099087407,3.815036655120158,-0.006529192333304845,14.885148091713356,0.11570247933884298,0.2190082644628099,0.2190082644628099,enh_r1_ma40_trend_r1_abs,trend_filter
242,0.09706108542046032,0.09706108542046032,0.024371392312575443,3.813788090250522,-0.006529192333304845,14.865710866772927,0.11570247933884298,0.2231404958677686,0.2231404958677686,enh_r1_ma30_trend_r1_abs,trend_filter
242,0.11721577069666567,0.11721577069666567,0.03337833641375695,3.3380489232644917,-0.012836943493093056,9.131127729878523,0.21074380165289255,0.49586776859504134,0.49586776859504134,enh_r1_ma10_trend_only,trend_filter
242,0.09831764854613811,0.09831764854613811,0.028787844896902646,3.2725256970405354,-0.009636592253622567,10.202532799826491,0.128099173553719,0.25206611570247933,0.25206611570247933,enh_r1_r12_ma40_trend_only,trend_filter
242,0.06875129130791091,0.06875129130791091,0.021247963191200113,3.140256128099276,-0.006472491909385036,10.622074507072362,0.07851239669421488,0.11983471074380166,0.11983471074380166,enh_r1_r12_ma40_trend_r1_abs,trend_filter
242,0.0794817730529509,0.0794817730529509,0.024717080463997766,3.107020164314964,-0.00861151467181398,9.22970883543863,0.1115702479338843,0.23140495867768596,0.23140495867768596,enh_r1_ma20_trend_r1_abs,trend_filter
242,0.08200309163955821,0.08200309163955821,0.025901885722354447,3.056145532626527,-0.011685587494537075,7.017455620258207,0.11570247933884298,0.23553719008264462,0.23553719008264462,enh_r1_ma10_trend_r1_abs,trend_filter
242,0.10177735566685842,0.10177735566685842,0.03194588937837882,3.050503676832178,-0.012836943493093167,7.928472671210172,0.19421487603305784,0.4793388429752066,0.4793388429752066,enh_r1_ma20_trend_only,trend_filter
242,0.08936853094066421,0.08936853094066421,0.028681107372095897,2.9992396453152343,-0.009636592253622678,9.273872816095125,0.128099173553719,0.2768595041322314,0.2768595041322314,enh_r1_r12_ma30_trend_only,trend_filter
242,0.06328453278459722,0.06328453278459722,0.020680174617206698,2.977859693445123,-0.006472491909384925,9.777460315220555,0.0743801652892562,0.11983471074380166,0.11983471074380166,enh_r1_r12_ma30_trend_r1_abs,trend_filter
242,0.08170097403142518,0.08170097403142518,0.02728303658706858,2.8925315436554127,-0.009636592253622678,8.47820182499798,0.128099173553719,0.28512396694214875,0.28512396694214875,enh_r1_r12_ma10_trend_only,trend_filter
242,0.07994179638209276,0.07994179638209276,0.02713727343433387,2.847938380134928,-0.00969823057201713,8.24292594287802,0.12396694214876033,0.23553719008264462,0.23553719008264462,enh_r12_ma30_trend_r1_abs,trend_filter
