strategy,sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position
enh_r1_r12_ma40_trend_only,241,0.026198107247635605,0.026308230664308985,0.012254935834212407,2.125202701706683,-0.005202276383825866,5.057061317638289,0.11203319502074689,0.2572614107883817,0.2572614107883817
enh_r12_ma40_trend_only,241,0.029283701105574877,0.02940697962288108,0.016980438841897264,1.7153906027130064,-0.015449060796350444,1.9034800892121504,0.17427385892116182,0.4107883817427386,0.4107883817427386
enh_r12_ma20_trend_only,241,0.029830521488187545,0.029956135339987755,0.017940255783570683,1.6542752820294389,-0.010089653179997216,2.968995544799888,0.17012448132780084,0.42738589211618255,0.42738589211618255
sign_r12,241,0.03355523733919652,0.03369679068707798,0.028308159420230145,1.1849120119136798,-0.022745418696299757,1.4814759462994542,0.4149377593360996,1.0,1.0
sign_r1_r12,241,0.021295087783909095,0.021384387271152105,0.019342049712687864,1.103611957361074,-0.009924549509943481,2.1546960141341356,0.23651452282157676,0.5767634854771784,0.5767634854771784
sign_r1,241,0.008750082697027262,0.008786549138301236,0.028384381497649092,0.3223447568920615,-0.027685356139519612,0.31737172149860227,0.4024896265560166,1.0,1.0
weight_r1,241,0.0001635589753736788,0.0001642376990496075,0.02552739755946045,0.019143910491714707,-0.028785315130420264,0.005705607123127911,0.3029045643153527,0.7510373443983402,0.720519836749984
weight_r12,241,-0.004973504274614182,-0.004994089604608787,0.025122629373909418,-0.18677824198076848,-0.03987676642980553,-0.12523807850367724,0.27800829875518673,0.7510373443983402,0.6583098325467984
weight_r1_r12,241,-0.010480597342994225,-0.010523855662979642,0.02557190167988892,-0.40097913337478713,-0.038617315755387405,-0.2725164982890217,0.29045643153526973,0.7510373443983402,0.6899889200426411
