sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position,strategy,family
241,0.026198107247635605,0.026308230664308985,0.012254935834212397,2.1252027017066846,-0.005202276383825866,5.057061317638289,0.11203319502074689,0.2572614107883817,0.2572614107883817,enh_r1_r12_ma40_trend_only,trend_filter
241,0.029283701105574877,0.02940697962288108,0.016980438841897257,1.715390602713007,-0.015449060796350444,1.9034800892121504,0.17427385892116182,0.4107883817427386,0.4107883817427386,enh_r12_ma40_trend_only,trend_filter
241,0.029830521488187545,0.029956135339987755,0.017940255783570665,1.6542752820294404,-0.010089653179997216,2.968995544799888,0.17012448132780084,0.42738589211618255,0.42738589211618255,enh_r12_ma20_trend_only,trend_filter
241,0.018841549839717864,0.018920465540718467,0.012217637404753809,1.5402882915050458,-0.0037270110835460057,5.076578823242159,0.0995850622406639,0.2572614107883817,0.2572614107883817,enh_r1_r12_ma20_trend_only,trend_filter
241,0.017149109613926017,0.017220876967901644,0.012125254950770258,1.4142399533082803,-0.004328018141932288,3.9789290162756124,0.0954356846473029,0.2572614107883817,0.2572614107883817,enh_r1_r12_ma30_trend_only,trend_filter
241,0.018134939860039223,0.018210869632187654,0.013296541104400351,1.3639401469547432,-0.004681151347778134,3.8902544009458864,0.1037344398340249,0.2697095435684647,0.2697095435684647,enh_r1_r12_ma10_trend_only,trend_filter
241,0.011582042247003876,0.011630378906557048,0.009684687583238191,1.1988221476045258,-0.004327790826884614,2.687370848495754,0.06639004149377593,0.14107883817427386,0.14107883817427386,enh_r1_r12_ma5_trend_r1_abs,trend_filter
241,0.016048958917606937,0.01611608586515123,0.013978147124889125,1.1507509159794118,-0.006491658084143981,2.4825839032581105,0.11203319502074689,0.29045643153526973,0.29045643153526973,enh_r1_r12_ma5_trend_only,trend_filter
241,0.016308627942241083,0.01637684971951514,0.017114917490895137,0.9576726452752315,-0.015535618190757883,1.0541485712655905,0.15767634854771784,0.42323651452282157,0.42323651452282157,enh_r12_ma30_trend_only,trend_filter
241,0.007800486653765759,0.0078329802549717,0.00962051843898496,0.8158240253419877,-0.005200435508535772,1.506216208645407,0.058091286307053944,0.13692946058091288,0.13692946058091288,enh_r1_r12_ma10_trend_r1_abs,trend_filter
241,0.007116531048192876,0.007146165482931011,0.012805639211789845,0.5624472284695833,-0.011962999899540638,0.5973556418073207,0.0912863070539419,0.2033195020746888,0.2033195020746888,enh_r12_ma20_trend_r1_abs,trend_filter
241,0.010234869740663566,0.010277555572907549,0.01997085920082081,0.5219507594829265,-0.017994890319231183,0.5711374390497896,0.17427385892116182,0.47717842323651455,0.47717842323651455,enh_r12_ma10_trend_only,trend_filter
241,0.006714023546507075,0.006741976267885752,0.013204270394750573,0.5154584062520339,-0.011969818209555783,0.5632480084370435,0.1037344398340249,0.23651452282157676,0.23651452282157676,enh_r12_ma5_trend_r1_abs,trend_filter
241,0.004013871237279476,0.0040305598243657315,0.008924283304668474,0.4551773739130164,-0.004668475073707934,0.8633568265288951,0.04979253112033195,0.12033195020746888,0.12033195020746888,enh_r1_r12_ma20_trend_r1_abs,trend_filter
241,0.004104365364849594,0.004121430973656137,0.009347919732496358,0.4446427760132874,-0.005194275219532529,0.793456411042281,0.04979253112033195,0.12863070539419086,0.12863070539419086,enh_r1_r12_ma40_trend_r1_abs,trend_filter
241,0.008846531959483483,0.008883402125498208,0.02077088890981236,0.4361421722182251,-0.01886010315268194,0.47101556410283857,0.17842323651452283,0.4896265560165975,0.4896265560165975,enh_r12_ma5_trend_only,trend_filter
241,0.004169489220549494,0.004186826173051106,0.012366287244815975,0.34402097510849455,-0.008175323690534975,0.5121297127229869,0.0912863070539419,0.21991701244813278,0.21991701244813278,enh_r1_ma20_trend_r1_abs,trend_filter
241,0.005675966772886509,0.005699585492892734,0.01837472918252687,0.31845997244311636,-0.010921145205399552,0.5218853321421628,0.17427385892116182,0.42323651452282157,0.42323651452282157,enh_r1_ma40_trend_only,trend_filter
241,0.0037638830667345857,0.0037795303156811233,0.013110128951326397,0.2942776612421825,-0.007636620481442424,0.4949218472838441,0.0954356846473029,0.22821576763485477,0.22821576763485477,enh_r1_ma5_trend_r1_abs,trend_filter
241,0.003706387296207536,0.003721795080357193,0.01811816424824487,0.21405850039351074,-0.014985780854292141,0.2483550985126823,0.17012448132780084,0.45228215767634855,0.45228215767634855,enh_r1_ma20_trend_only,trend_filter
241,0.0006711154763689997,0.0006739011259890848,0.008780994604091269,0.08109021153416611,-0.004320009945974035,0.155995271866704,0.04149377593360996,0.11618257261410789,0.11618257261410789,enh_r1_r12_ma30_trend_r1_abs,trend_filter
241,-0.000323603261532579,-0.00032494579547071023,0.013404181373005272,-0.017571714713508567,-0.012838844021829887,-0.02530958355115187,0.0954356846473029,0.23236514522821577,0.23236514522821577,enh_r12_ma10_trend_r1_abs,trend_filter
241,-0.003246526970224206,-0.0032599760549638646,0.012793858372098437,-0.24885131955323198,-0.015498064950576262,-0.21034729595985138,0.07883817427385892,0.22406639004149378,0.22406639004149378,enh_r1_ma10_trend_r1_abs,trend_filter
241,-0.006721533183220774,-0.006749329030378837,0.018954466856641643,-0.34784503983317966,-0.021107081066148004,-0.3197661016806136,0.16182572614107885,0.4605809128630705,0.4605809128630705,enh_r1_ma10_trend_only,trend_filter
241,-0.006216464877079497,-0.006242178662645981,0.012876059389086496,-0.47989018517437504,-0.01826219061352219,-0.3418088659103129,0.07883817427385892,0.2157676348547718,0.2157676348547718,enh_r12_ma40_trend_r1_abs,trend_filter
241,-0.009596392954679622,-0.00963601954604687,0.01921495375990435,-0.4943389072645944,-0.022805434290579907,-0.4225317274500297,0.1825726141078838,0.5020746887966805,0.5020746887966805,enh_r1_ma5_trend_only,trend_filter
241,-0.011898025343567431,-0.011947098653721566,0.018304141513363337,-0.6474971456455221,-0.017614594417557417,-0.6782499994330411,0.14937759336099585,0.43568464730290457,0.43568464730290457,enh_r1_ma30_trend_only,trend_filter
241,-0.008328788854685243,-0.008363203227634841,0.012668675770978336,-0.6566027658331521,-0.013299055122905079,-0.6288569488843476,0.07468879668049792,0.2074688796680498,0.2074688796680498,enh_r1_ma40_trend_r1_abs,trend_filter
241,-0.010537500707610947,-0.010580992636387787,0.012353371869308042,-0.8549185965488872,-0.018335961340402385,-0.5770623334088893,0.07053941908713693,0.2033195020746888,0.2033195020746888,enh_r12_ma30_trend_r1_abs,trend_filter
241,-0.013463036143321672,-0.013518520060240014,0.012365508569173438,-1.094510452798466,-0.015156985053983774,-0.8919003358578153,0.06639004149377593,0.2033195020746888,0.2033195020746888,enh_r1_ma30_trend_r1_abs,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma5_trend_bar_vol,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma5_trend_both,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma10_trend_bar_vol,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma10_trend_both,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma20_trend_bar_vol,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma20_trend_both,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma30_trend_bar_vol,trend_filter
241,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,enh_r1_ma30_trend_both,trend_filter
