strategy,year,sample_days,total_return,annual_return,annual_volatility,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,trade_rate,avg_abs_position
sign_r1,2025,126,-0.008403123547295999,-0.016076889992965526,0.028135890276283833,-0.5620618996956676,-0.026779531889298047,-0.6003424577929372,0.3888888888888889,1.0,1.0
sign_r1,2026,115,0.017298568250524893,0.03675012013557133,0.028673607073590828,1.2729843898431006,-0.007271655382248499,5.053886385386937,0.41739130434782606,1.0,1.0
sign_r12,2025,126,0.00670203921527035,0.012911875019547603,0.028141460371781717,0.46985014749923193,-0.01892685943787953,0.6821984947859995,0.373015873015873,1.0,1.0
sign_r12,2026,115,0.026674425080989828,0.05695979876082635,0.02854377730913301,1.9551294011459344,-0.022745418696299757,2.5042317101901763,0.4608695652173913,1.0,1.0
sign_r1_r12,2025,126,-0.0007505968131263918,-0.0014411243416785346,0.01716811966683862,-0.07548417305122358,-0.009924549509943481,-0.14520803591484543,0.20634920634920634,0.5555555555555556,0.5555555555555556
sign_r1_r12,2026,115,0.02206224444740723,0.046992646404095506,0.02143639167128781,2.1530636745563467,-0.007476716566272024,6.285198320353954,0.26956521739130435,0.6,0.6
weight_r1,2025,126,-0.011355528017260585,-0.021695786126872285,0.024922967080186962,-0.8676842725954056,-0.01646060797719273,-1.3180428181591617,0.1984126984126984,0.5238095238095238,0.6540261332739866
weight_r1,2026,115,0.011651394731953202,0.02467639362655949,0.026193887486960936,0.9436515837583597,-0.01995754621643442,1.2364442681956185,0.41739130434782606,1.0,0.7933738075149896
weight_r12,2025,126,-0.0360144705095744,-0.06802282915005364,0.023873912178050797,-2.93850552710895,-0.03686580513430615,-1.8451469838306542,0.14285714285714285,0.5238095238095238,0.5930026039309452
weight_r12,2026,115,0.03220065580379505,0.06896754172936337,0.02574402315246554,2.603727220299399,-0.012301000212791124,5.606661290652435,0.4260869565217391,1.0,0.7298638395519941
weight_r1_r12,2025,126,-0.028139835051880557,-0.05334574841080997,0.023364300444813302,-2.334504444104484,-0.033230739655464636,-1.6053133021984214,0.15873015873015872,0.5238095238095238,0.5922986848844946
weight_r1_r12,2026,115,0.01817055410417945,0.03862105270516336,0.027556102298006903,1.388909248400341,-0.01502192854319484,2.570978326392005,0.43478260869565216,1.0,0.7970234385637409
enh_r1_r12_ma40_trend_only,2025,126,0.003241074085825968,0.0062342063753710875,0.009420118011603147,0.6644216722528692,-0.005202276383825866,1.198361239466927,0.07936507936507936,0.20634920634920634,0.20634920634920634
enh_r1_r12_ma40_trend_only,2026,115,0.022882868091029795,0.04876243072187059,0.01466723624650413,3.253647812908256,-0.002826518602202732,17.25176359492896,0.14782608695652175,0.3130434782608696,0.3130434782608696
enh_r12_ma40_trend_only,2025,126,0.014578221001937619,0.02818726147111894,0.014287774391518597,1.9527172111991606,-0.006083501947552139,4.6333940079464995,0.12698412698412698,0.31746031746031744,0.31746031746031744
enh_r12_ma40_trend_only,2026,115,0.014494180733660267,0.030745027679530246,0.019574702833833432,1.556787777766516,-0.015449060796350222,1.9900904064532927,0.22608695652173913,0.5130434782608696,0.5130434782608696
enh_r12_ma20_trend_only,2025,126,0.016246740989564357,0.03143732272179167,0.015717079973037066,1.9773123516863504,-0.006937313590646532,4.531627741922768,0.1349206349206349,0.35714285714285715,0.35714285714285715
enh_r12_ma20_trend_only,2026,115,0.01336661654176341,0.028335711016280518,0.020166892340486377,1.395594604889285,-0.010089653179996882,2.8083929656231525,0.20869565217391303,0.5043478260869565,0.5043478260869565
